college,collegeAlias,profession,professionAlias
动物科学技术学院-动物医学院 ,DYDk,"[""动物科学"",""动物医学""]","[""Dwkx"",""Dwyx""]"
工学院 ,GX,"[""机械电子工程"",""机械设计制造及其自动化"",""能源与动力工程"",""农业机械化及其自动化"",""自动化""]","[""Jxdzgc"",""Jxsjzzjqzdh"",""Nyydlgc"",""Nyjxhjqzdh"",""Zdh""]"
公共管理学院 ,GG,"[""工程管理"",""行政管理"",""土地资源管理"",""信息管理与信息系统""]","[""Gcgl"",""Xzgl"",""Tdzygl"",""Xxglyxxxt""]"
经济管理学院 ,JG,"[""工商管理"",""国际经济与贸易"",""会计学"",""经济学"",""农林经济管理"",""人力资源管理"",""市场营销""]","[""Gsgl"",""Gjjjymy"",""Kjx"",""Jjx"",""Nljjgl"",""Rlzzgl"",""Scyx""]"
理学院 ,LX,"[""信息与计算科学"",""应用化学""]","[""Xxyjskx"",""Yyhx""]"
生命科学技术学院 ,SMKX,"[""生物工程"",""生物技术"",""生物科学""]","[""Swgc"",""Swjs"",""Swkx""]"
食品科学技术学院 ,SK,"[""食品科学与工程"",""食品质量与安全""]","[""Spkxygc"",""Spzzykx""]"
水产学院 ,SC,"[""水产养殖学"",""水族科学与技术""]","[""Scyzx"",""Szkxyjs""]"
外国语学院 ,WGY,"[""商务英语"",""英语""]","[""Swyy"",""Yy_WGY""]"
文法学院 ,WF,"[""法学"",""广告学"",""社会工作"",""社会学"",""视觉传达设计""]","[""Fx"",""Ggx"",""Shgz"",""Shx"",""Sjcdsj""]"
信息学院 ,XX,"[""计算机科学与技术"",""生物信息学""]","[""Jsjkxyjs"",""Swxxx""]"
园艺林学学院 ,YYLX,"[""茶学,""风景园林"",""林学"",""设施农业科学与工程"",""园林"",""园艺""]","[""Cx"",""Fjyl"",""Lx"",""Ssnykxygc"",""Yl"",""Yy_YYLX""]"
植物科学技术学院 ,ZK,"[""农学"",""植物保护"",""植物科学与技术"",""种子科学与工程""]","[""Nx"",""Zwbh"",""Zwkxyjs"",""Zzkxygc""]"
资源与环境学院 ,ZH,"[""地理信息科学"",""环境工程"",""环境科学"",""环境生态工程"",""农业资源与环境""]","[""Dlxxxx"",""Hjgc"",""Hjkx"",""Hjstgc"",""Nyzyyhj""]"
